old_code,name,level,year_offered,rmu_id,course_type_id,course_group_id,meeting,practice,total,is_active,is_public
AKT19202,Akuntansi dan Laporan Keberlanjutan,7,4,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19206,Akuntansi Manajemen Desa,7,4,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19210,Akuntansi Sosial dan Lingkungan,7,4,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19212,Akuntansi Zakat,7,3,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19214,Analisa Laporan Keuangan,7,3,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19217,Aplikasi Akuntansi Keuangan Menengah,7,2,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,0,2,2,1,1
AKT19218,Aplikasi Akuntansi Perusahaan Dagang,7,1,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,0,2,2,1,1
AKT19219,Aplikasi Akuntansi Perusahaan Jasa,7,1,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,0,2,2,1,1
AKT19222,Aplikasi Auditing,7,3,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,0,2,2,1,1
AKT19223,Aplikasi Perpajakan,7,3,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,0,2,2,1,1
AKT19230,Auditing 1,7,3,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19231,Auditing 2,7,3,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19232,Corporate Governance,7,3,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19233,Etika dan Profesi Akuntan,7,4,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19234,Fiqih Muamalah Kontemporer,7,3,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19235,Islamic Business Ethic,7,4,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19236,Komputerisasi Akuntansi,7,2,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,0,2,2,1,1
AKT19240,Pengantar Akuntansi Keperilakuan,7,3,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19242,Pengantar Manajemen Resiko,7,4,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19248,Seminar Akuntansi Keuangan,7,3,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19249,Seminar Akuntansi Keperilakuan,7,3,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,2,0,2,1,1
AKT19401,Akuntansi Biaya,7,2,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,4,0,4,1,1
AKT19403,Akuntansi Keuangan Lanjutan,7,3,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,4,0,4,1,1
AKT19404,Akuntansi Keuangan Menengah,7,2,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,4,0,4,1,1
AKT19405,Akuntansi Manajemen,7,2,e150b60b6ad54e7097b3d2618bda5d6b,a9d0256a1e6d4528ac8032abf2c0ac09,b39164a7739945009d603c2243acbae2,4,0,4,1,1
AKT19407,Akuntansi Manajemen Keuangan Daerah,7,4,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,4,0,4,1,1
AKT19408,Akuntansi Perbankan,7,4,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,4,0,4,1,1
AKT19409,Audit Publik,7,4,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,4,0,4,1,1
AKT19411,Akuntansi Syariah,7,4,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,4,0,4,1,1
AKT19414,Analisis Perancangan Sistem Informasi Akuntansi,7,4,e150b60b6ad54e7097b3d2618bda5d6b,1bc51cd049c6463f86031968f2370e6d,b39164a7739945009d603c2243acbae2,4,0,4,1,1
